captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:36:38.304856+00:00,f5be1ffef4dd4f2751aeb87cf2f62885,0.998,"Baran, Mateusz - Stojek, Karol",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:36:38.304861+00:00,53e6a94526ccd2494d1b874a9e01122b,0.998,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:36:38.304866+00:00,a15e025786aac40b61c4f8b6e838b99b,0.998,"Hrynenko, Kostiantyn  - Khamurda, Vitaliy",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:38.304871+00:00,e2f60198d6797f0152d06f626bea5da5,0.998,"Korda, Sebastian - Ruud, Casper",Tenis,World. ATP. Delray Beach. Singles,[]
2026-02-20T22:36:38.304875+00:00,972694a0df1851e8f6a7c12a2fb33844,0.996,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:36:38.304879+00:00,85d37aeeee616f40fc0b953e00b1f392,0.996,Estudiantes La Plata - CA Sarmiento,Futebol,Argentina. Primera Division,[]
2026-02-20T22:36:38.304884+00:00,18e4ea6b0f5abcdd43d6aa982aa71f3f,0.996,Sesi Bauru Women - Regatas Lima Women,Volei,South America. Club Championship Women,[]
2026-02-20T22:36:38.304887+00:00,94b4e3169184823823cf4a38c6ede82f,0.993,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:36:38.304892+00:00,044cff8b6802d76094af4211ead612c6,0.993,Southern Mississippi Golden Eagles - Purdue Boilermakers,Beisebol,USA. NCAA,[]
2026-02-20T22:36:38.304896+00:00,2a02cb5e51063d58ee3000d42bae4b96,0.99,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:36:38.304900+00:00,e9db88d0c4a1dac761179b4105de2ef9,0.99,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:36:40.743161+00:00,567ab347e01ddd18024f42c772c356ad,1.0,Germany (Kavviro) - England (Tikitakamaster),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:40.743188+00:00,9a846a22012322959e34143b9fc47bb6,1.0,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:40.743198+00:00,24f99f4837f8e8c3c5e1cdb3a6421030,1.0,Spain (Nightxx) - Argentina (Deroll),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:40.743208+00:00,3d93bd10bd36a033575ae103d50cfb3c,1.0,UAAARoso - Valongo,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:40.743218+00:00,943d4e63ec710a91e922fed9c1854b33,0.998,"Volhejn, Dan - Klimenta, Matous",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:40.743226+00:00,f81835d8914d51e3e39fbee5c497dfeb,0.998,Georgia State Panthers - Bellarmine,Beisebol,USA. NCAA,[]
2026-02-20T22:36:40.743234+00:00,53e6a94526ccd2494d1b874a9e01122b,0.998,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:36:40.743242+00:00,6bd2c03eec6877452a77a65b306f0e29,0.998,"Korda, Sebastian - Ruud, Casper",Tenis,World. ATP. Delray Beach. Singles,[]
2026-02-20T22:36:40.743249+00:00,5b81d585195642498331bca0562f3fa1,0.998,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:40.743256+00:00,972694a0df1851e8f6a7c12a2fb33844,0.996,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:36:40.743262+00:00,85d37aeeee616f40fc0b953e00b1f392,0.996,Estudiantes La Plata - CA Sarmiento,Futebol,Argentina. Primera Division,[]
2026-02-20T22:36:40.743269+00:00,18e4ea6b0f5abcdd43d6aa982aa71f3f,0.996,Sesi Bauru Women - Regatas Lima Women,Volei,South America. Club Championship Women,[]
2026-02-20T22:36:40.743280+00:00,2a02cb5e51063d58ee3000d42bae4b96,0.99,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:36:40.743287+00:00,e9db88d0c4a1dac761179b4105de2ef9,0.99,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:36:40.743296+00:00,36f2948eabf0e4a53613e0b3fb7e0cb1,0.99,Imperial - Sharks.cn ,Sport 47,Counter-Strike 2. ESL Challenger,[]
2026-02-20T22:36:40.743303+00:00,755385aa2873a34e4b1469b40f461edd,0.98,"Skacelik, Richard - Cernin, Tomas",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
