captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:29:46.612848+00:00,eefa5925cd43be0349ead670b945d0fb,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:46.612861+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:46.612866+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:46.612870+00:00,dc77650e5fab76fd265aa38971b270bf,0.998,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:46.612874+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:46.612878+00:00,a725b730b1a5153c717f7c7e7aef6d18,0.99,CB Penafiel 2012 - Porto U23,Basquete,Portugal. Division 2,[]
2026-02-20T22:29:46.612882+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:46.612886+00:00,e92b578c64bd4a64d73e3c3bbe4e874b,0.99,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:46.612890+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:46.612897+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:46.612901+00:00,8ea0f7b1164a5de6d64a964480461a95,0.982,"Barry, Charles/Martin, Andres - Duncan, Scott/Jones, Ben",Tenis,World. ATP Challenger Metepec. Doubles,[]
2026-02-20T22:29:46.612905+00:00,fb69ae5e4b7949848eae2d7b7f073ab1,0.98,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:46.612910+00:00,eb3638d2cb169d472e1ecd613ef42081,0.978,"Petukh, Nazar - Arkhipov, Ivan ",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:29:46.612914+00:00,aafb9f0342eec49bda1ec4cfe40612d1,0.978,CLIP Women - Benfica Women,Basquete,Portugal. Taca de Portugal Women,[]
2026-02-20T22:29:46.612918+00:00,b18a279dbd05c4b7e2b9457007420d0e,0.978,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:46.612922+00:00,add988ffa2307fa817105d916069f2db,0.978,Escola SLB O Azemeis - GRI Brandoense,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:29:46.612926+00:00,03734ad95118490961d0ef9622510f2d,0.978,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:46.612930+00:00,6541b2fa74d572c8f2ccb8dedb2134d7,0.976,"Benes, Radek  - Stusek, David",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:29:46.612934+00:00,97c78b5486a6a03ef8c60d4878aa7cc5,0.976,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:46.612938+00:00,45e7a159495ea4f4ab5c50a0302f30f7,0.976,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
